Job Title,Description,Salary Range,Qualifications,Responsibilities
Rust Developer,Develops software applications using the Rust programming language.,70k - 130k USD,Bachelor's degree in computer science or related field & proficiency in Rust.,Build Rust applications & optimize performance & ensure code quality.
Sales Engineer,Provides technical expertise and support to sales teams to facilitate product sales.,60k - 120k USD,Bachelor's degree in engineering or related field & sales skills & technical knowledge.,Assist sales teams & provide product demos & address technical queries.
Salesperson,Sells products or services to customers to meet sales targets and objectives.,40k - 90k USD,High school diploma or equivalent & sales experience & communication skills.,Prospect and qualify leads & negotiate sales & build client relationships.
Scala Developer,Builds software applications using the Scala programming language.,70k - 130k USD,Bachelor's degree in computer science or related field & Scala programming skills.,Develop Scala applications & collaborate with teams & troubleshoot issues.
Scripting Engineer,Develops scripts and automation tools to streamline and optimize processes.,50k - 100k USD,Bachelor's degree in computer science or related field & scripting skills.,Write scripts & automate tasks & improve efficiency.
Scrum Master,Facilitates Agile development processes and ensures teams follow Scrum principles.,60k - 120k USD,Certified Scrum Master & Agile experience & leadership skills.,Lead Scrum ceremonies & remove obstacles & promote Agile practices.
Security Analyst,Assesses and identifies security risks and vulnerabilities in computer systems and networks.,60k - 120k USD,Bachelor's degree in cybersecurity or related field & security certifications.,Conduct security assessments & analyze threats & implement security measures.
Security Consultant,Provides advice and recommendations to organizations on improving cybersecurity defenses.,70k - 140k USD,Bachelor's degree in cybersecurity or related field & consulting experience.,Assess cybersecurity posture & develop security strategies & deliver recommendations.
Security Engineer,Designs and implements security measures to protect information and systems from cyber threats.,70k - 140k USD,Bachelor's degree in cybersecurity or related field & security skills.,Design security architecture & implement controls & monitor threats.
Software Architect,Designs the structure and organization of software systems and applications.,80k - 160k USD,Bachelor's degree in computer science or related field & architecture experience.,Define system architecture & design components & guide development teams.
Software Developer,Designs & develops and maintains software applications and solutions.,60k - 130k USD,Bachelor's degree in computer science or related field & programming skills.,Write code & test software & collaborate with teams.
Software Engineer,Applies engineering principles to design and develop software solutions.,60k - 130k USD,Bachelor's degree in software engineering or related field & engineering skills.,Design software systems & develop applications & ensure quality.
Software Tester,Designs and executes tests to identify defects and ensure software quality.,50k - 100k USD,Bachelor's degree in computer science or related field & testing skills.,Create test cases & execute tests & report and track defects.
Support Engineer,Provides technical support and assistance to customers or end-users.,50k - 100k USD,Bachelor's degree in computer science or related field & technical support experience.,Resolve technical issues & assist users & escalate complex problems.
Swift Developer,Builds software applications using the Swift programming language.,70k - 140k USD,Bachelor's degree in computer science or related field & Swift programming skills.,Develop Swift applications & collaborate with teams & troubleshoot issues.
System Administrator,Manages and maintains computer systems & servers & and networks.,60k - 120k USD,Bachelor's degree in computer science or related field & system administration skills.,Install and configure systems & monitor performance & troubleshoot issues.
Systems Engineer,Designs and develops complex systems and solutions to meet specific requirements.,70k - 140k USD,Bachelor's degree in engineering or related field & systems engineering experience.,Design systems & develop solutions & optimize performance.
Systems Programmer,Writes low-level code and software to control and manage computer systems.,60k - 120k USD,Bachelor's degree in computer science or related field & programming skills.,Write system-level code & debug software & ensure system stability.
Team Lead,Provides leadership and guidance to a team of professionals to achieve common goals.,70k - 140k USD,Bachelor's degree in relevant field & leadership skills & team management experience.,Lead and mentor team members & set goals & oversee project execution.
Technical Expert,Possesses specialized knowledge and expertise in a particular field or domain.,70k - 140k USD,Bachelor's degree in specialized field & extensive experience and expertise.,Provide expert advice & solve complex problems & stay updated with industry trends.
Technical Writer,Creates documentation and instructional materials for technical products and processes.,50k - 100k USD,Bachelor's degree in technical writing & communication skills & attention to detail.,Write technical documentation & create user manuals & produce online help content.
Testing Specialist,Specializes in designing and executing tests to evaluate software functionality and performance.,60k - 120k USD,Bachelor's degree in computer science or related field & testing skills.,Design and execute tests & analyze results & report findings.
Trainer,Delivers training and educational programs to individuals or groups.,50k - 100k USD,Bachelor's degree in education or relevant field & training experience.,Develop training materials & conduct sessions & assess learning outcomes.
Troubleshooting Expert,Identifies and resolves complex technical issues and problems.,60k - 120k USD,Bachelor's degree in computer science or related field & troubleshooting skills.,Diagnose and fix technical issues & provide solutions & document resolutions.
TypeScript Developer,Builds web applications and services using the TypeScript programming language.,70k - 140k USD,Bachelor's degree in computer science or related field & TypeScript programming skills.,Develop TypeScript applications & collaborate with teams & troubleshoot issues.
UI/UX Designer,Designs the user interface and user experience of software applications and websites.,60k - 120k USD,Bachelor's degree in design or related field & UI/UX design skills.,Create wireframes & design interfaces & conduct user testing.
UX Researcher,Conducts research and gathers insights to inform the design of user experiences.,60k - 120k USD,Bachelor's degree in psychology & HCI or related field & research skills.,Plan and conduct user research & analyze data & provide insights.
User Experience Specialist,Specializes in designing and optimizing user experiences for products and services.,70k - 140k USD,Bachelor's degree in UX design or related field & UX design skills.,Design and improve user experiences & conduct usability testing & gather feedback.
VR Developer,Builds virtual reality applications and experiences.,70k - 140k USD,Bachelor's degree in computer science or related field & VR development skills.,Develop VR applications & optimize performance & test and debug software.
Version Control Specialist,Manages and maintains version control systems to track changes to code and documents.,60k - 120k USD,Bachelor's degree in computer science or related field & version control skills.,Manage version control systems & track code changes & support development teams.
Web Developer,Builds and maintains websites and web applications using various programming languages and frameworks.,60k - 130k USD,Bachelor's degree in web development or related field & programming skills.,Develop websites and web apps & optimize performance & ensure compatibility.
iOS Developer,Builds applications for the iOS operating system using Swift or Objective-C.,70k - 140k USD,Bachelor's degree in computer science or related field & iOS development skills.,Develop iOS applications & test and debug software & collaborate with teams.
